i01	V(vhd)
-2.129999999999939e-004	6.093156e-001
-2.119999999999939e-004	6.092873e-001
-2.109999999999939e-004	6.092578e-001
-2.099999999999939e-004	6.092272e-001
-2.089999999999939e-004	6.091952e-001
-2.079999999999939e-004	6.091619e-001
-2.069999999999939e-004	6.091268e-001
-2.059999999999939e-004	6.090899e-001
-2.049999999999939e-004	6.090498e-001
-2.039999999999939e-004	6.090081e-001
-2.029999999999939e-004	6.089635e-001
-2.019999999999939e-004	6.089151e-001
-2.009999999999939e-004	6.088621e-001
-1.999999999999939e-004	6.088029e-001
-1.989999999999939e-004	6.087348e-001
-1.979999999999939e-004	6.086523e-001
-1.969999999999940e-004	6.085393e-001
-1.959999999999940e-004	6.083583e-001
-1.949999999999940e-004	6.081676e-001
-1.939999999999940e-004	6.079763e-001
-1.929999999999940e-004	6.077840e-001
-1.919999999999940e-004	6.075909e-001
-1.909999999999940e-004	6.073970e-001
-1.899999999999940e-004	6.072022e-001
-1.889999999999940e-004	6.070066e-001
-1.879999999999940e-004	6.068102e-001
-1.869999999999940e-004	6.066128e-001
-1.859999999999940e-004	6.064146e-001
-1.849999999999940e-004	6.062154e-001
-1.839999999999940e-004	6.060154e-001
-1.829999999999940e-004	6.058145e-001
-1.819999999999940e-004	6.056127e-001
-1.809999999999940e-004	6.054099e-001
-1.799999999999940e-004	6.052063e-001
-1.789999999999940e-004	6.050016e-001
-1.779999999999940e-004	6.047960e-001
-1.769999999999940e-004	6.045895e-001
-1.759999999999940e-004	6.043820e-001
-1.749999999999940e-004	6.041735e-001
-1.739999999999940e-004	6.039640e-001
-1.729999999999940e-004	6.037535e-001
-1.719999999999940e-004	6.035420e-001
-1.709999999999940e-004	6.033295e-001
-1.699999999999940e-004	6.031160e-001
-1.689999999999940e-004	6.029014e-001
-1.679999999999940e-004	6.026857e-001
-1.669999999999940e-004	6.024691e-001
-1.659999999999940e-004	6.022513e-001
-1.649999999999940e-004	6.020325e-001
-1.639999999999940e-004	6.018125e-001
-1.629999999999940e-004	6.015915e-001
-1.619999999999940e-004	6.013693e-001
-1.609999999999941e-004	6.011460e-001
-1.599999999999941e-004	6.009215e-001
-1.589999999999941e-004	6.006959e-001
-1.579999999999941e-004	6.004691e-001
-1.569999999999941e-004	6.002411e-001
-1.559999999999941e-004	6.000120e-001
-1.549999999999941e-004	5.997816e-001
