i1	V(vo)
-1.009999999999942e-004	1.591534e+000
-9.999999999999422e-005	1.584026e+000
-9.899999999999422e-005	1.576509e+000
-9.799999999999422e-005	1.568983e+000
-9.699999999999423e-005	1.561446e+000
-9.599999999999423e-005	1.553899e+000
-9.499999999999423e-005	1.546342e+000
-9.399999999999424e-005	1.538775e+000
-9.299999999999424e-005	1.531197e+000
-9.199999999999424e-005	1.523608e+000
-9.099999999999424e-005	1.516007e+000
-8.999999999999425e-005	1.508395e+000
-8.899999999999425e-005	1.500771e+000
-8.799999999999425e-005	1.493135e+000
-8.699999999999425e-005	1.485487e+000
-8.599999999999426e-005	1.477826e+000
-8.499999999999426e-005	1.470152e+000
-8.399999999999426e-005	1.462465e+000
-8.299999999999427e-005	1.454764e+000
-8.199999999999427e-005	1.447049e+000
-8.099999999999427e-005	1.439320e+000
-7.999999999999427e-005	1.431576e+000
-7.899999999999428e-005	1.423818e+000
-7.799999999999428e-005	1.416043e+000
-7.699999999999428e-005	1.408253e+000
-7.599999999999429e-005	1.400447e+000
-7.499999999999429e-005	1.392623e+000
-7.399999999999429e-005	1.384783e+000
-7.299999999999429e-005	1.376925e+000
-7.199999999999430e-005	1.369048e+000
-7.099999999999430e-005	1.361153e+000
-6.999999999999430e-005	1.353238e+000
-6.899999999999431e-005	1.345304e+000
-6.799999999999431e-005	1.337349e+000
-6.699999999999431e-005	1.329373e+000
-6.599999999999431e-005	1.321374e+000
-6.499999999999432e-005	1.313354e+000
-6.399999999999432e-005	1.305310e+000
-6.299999999999432e-005	1.297242e+000
-6.199999999999432e-005	1.289149e+000
-6.099999999999433e-005	1.281031e+000
-5.999999999999433e-005	1.272886e+000
-5.899999999999433e-005	1.264714e+000
-5.799999999999434e-005	1.256512e+000
-5.699999999999434e-005	1.248282e+000
-5.599999999999434e-005	1.240020e+000
-5.499999999999434e-005	1.231727e+000
-5.399999999999435e-005	1.223401e+000
-5.299999999999435e-005	1.215040e+000
-5.199999999999435e-005	1.206644e+000
-5.099999999999436e-005	1.198210e+000
-4.999999999999436e-005	1.189738e+000
-4.899999999999436e-005	1.181224e+000
-4.799999999999436e-005	1.172669e+000
-4.699999999999437e-005	1.164069e+000
-4.599999999999437e-005	1.155424e+000
-4.499999999999437e-005	1.146729e+000
-4.399999999999438e-005	1.137985e+000
-4.299999999999438e-005	1.129186e+000
-4.199999999999438e-005	1.120332e+000
-4.099999999999438e-005	1.111420e+000
-3.999999999999439e-005	1.102445e+000
-3.899999999999439e-005	1.093405e+000
-3.799999999999439e-005	1.084295e+000
-3.699999999999439e-005	1.075113e+000
-3.599999999999440e-005	1.065854e+000
-3.499999999999440e-005	1.056512e+000
-3.399999999999440e-005	1.047084e+000
-3.299999999999441e-005	1.037562e+000
-3.199999999999441e-005	1.027941e+000
-3.099999999999441e-005	1.018214e+000
-2.999999999999441e-005	1.008373e+000
-2.899999999999441e-005	9.984103e-001
-2.799999999999441e-005	9.883155e-001
-2.699999999999441e-005	9.780782e-001
-2.599999999999441e-005	9.676867e-001
-2.499999999999441e-005	9.571271e-001
-2.399999999999441e-005	9.463843e-001
-2.299999999999441e-005	9.354405e-001
-2.199999999999441e-005	9.242755e-001
-2.099999999999441e-005	9.128659e-001
-1.999999999999440e-005	9.011844e-001
-1.899999999999440e-005	8.891989e-001
-1.799999999999440e-005	8.768712e-001
-1.699999999999440e-005	8.641556e-001
-1.599999999999440e-005	8.509967e-001
-1.499999999999440e-005	8.373267e-001
-1.399999999999440e-005	8.230608e-001
-1.299999999999440e-005	8.080916e-001
