vs	V(vo)
-8.359999999999990e-001	-8.360000e-001
-8.339999999999990e-001	-8.340000e-001
-8.319999999999990e-001	-8.320000e-001
-8.299999999999990e-001	-8.300000e-001
-8.279999999999990e-001	-8.279999e-001
-8.259999999999990e-001	-8.260000e-001
-8.239999999999990e-001	-8.240000e-001
-8.219999999999990e-001	-8.220000e-001
-8.199999999999990e-001	-8.200000e-001
-8.179999999999990e-001	-8.180000e-001
-8.159999999999990e-001	-8.160000e-001
-8.139999999999990e-001	-8.140000e-001
-8.119999999999989e-001	-8.120000e-001
-8.099999999999989e-001	-8.100000e-001
-8.079999999999989e-001	-8.080000e-001
-8.059999999999989e-001	-8.060000e-001
-8.039999999999989e-001	-8.040000e-001
-8.019999999999989e-001	-8.020000e-001
-7.999999999999989e-001	-8.000000e-001
-7.979999999999989e-001	-7.980000e-001
-7.959999999999989e-001	-7.960000e-001
-7.939999999999989e-001	-7.940000e-001
-7.919999999999989e-001	-7.920000e-001
-7.899999999999989e-001	-7.900000e-001
-7.879999999999989e-001	-7.880000e-001
-7.859999999999989e-001	-7.860000e-001
-7.839999999999989e-001	-7.840000e-001
-7.819999999999989e-001	-7.820000e-001
-7.799999999999989e-001	-7.800000e-001
-7.779999999999989e-001	-7.780000e-001
-7.759999999999989e-001	-7.760000e-001
-7.739999999999989e-001	-7.740000e-001
-7.719999999999989e-001	-7.720000e-001
-7.699999999999989e-001	-7.700000e-001
-7.679999999999989e-001	-7.680000e-001
-7.659999999999989e-001	-7.660000e-001
-7.639999999999989e-001	-7.640000e-001
-7.619999999999989e-001	-7.620000e-001
-7.599999999999989e-001	-7.600000e-001
-7.579999999999989e-001	-7.580000e-001
-7.559999999999989e-001	-7.560000e-001
-7.539999999999989e-001	-7.539999e-001
-7.519999999999989e-001	-7.520000e-001
-7.499999999999989e-001	-7.500000e-001
-7.479999999999989e-001	-7.480000e-001
-7.459999999999989e-001	-7.460000e-001
-7.439999999999989e-001	-7.440000e-001
-7.419999999999989e-001	-7.420000e-001
-7.399999999999989e-001	-7.399999e-001
-7.379999999999989e-001	-7.380000e-001
-7.359999999999989e-001	-7.360000e-001
-7.339999999999989e-001	-7.340000e-001
-7.319999999999989e-001	-7.320000e-001
-7.299999999999989e-001	-7.300000e-001
-7.279999999999989e-001	-7.280000e-001
-7.259999999999989e-001	-7.260000e-001
-7.239999999999989e-001	-7.240000e-001
-7.219999999999989e-001	-7.220000e-001
-7.199999999999989e-001	-7.200000e-001
-7.179999999999989e-001	-7.180000e-001
-7.159999999999989e-001	-7.160000e-001
-7.139999999999989e-001	-7.140000e-001
-7.119999999999989e-001	-7.120000e-001
-7.099999999999989e-001	-7.100000e-001
-7.079999999999989e-001	-7.080000e-001
-7.059999999999989e-001	-7.060000e-001
-7.039999999999989e-001	-7.040000e-001
-7.019999999999989e-001	-7.020000e-001
-6.999999999999989e-001	-7.000000e-001
-6.979999999999988e-001	-6.980000e-001
-6.959999999999988e-001	-6.960000e-001
-6.939999999999988e-001	-6.940000e-001
-6.919999999999988e-001	-6.920000e-001
-6.899999999999988e-001	-6.900000e-001
-6.879999999999988e-001	-6.880000e-001
-6.859999999999988e-001	-6.860000e-001
-6.839999999999988e-001	-6.840000e-001
-6.819999999999988e-001	-6.820000e-001
-6.799999999999988e-001	-6.800000e-001
-6.779999999999988e-001	-6.780000e-001
-6.759999999999988e-001	-6.760000e-001
-6.739999999999988e-001	-6.740000e-001
